company_cd,department_set_cd,department_cd,user_cd,department_main,delete_flag,役職コード［＊］,delete_flag
10,10,10157301,10074009,true,false,10070,false
10,10,10157301,10073110,true,false,10070,false
10,10,10157301,10073016,true,false,10070,false
10,10,10157301,10073017,true,false,10070,false
10,10,10157301,10072093,true,false,10070,false
10,10,10157301,10072092,true,false,10070,false
10,10,10157301,10071098,true,false,10070,false
10,10,10157301,10071015,true,false,10070,false
10,10,10157301,10069071,true,false,10070,false
10,10,10157301,10066065,true,false,10070,false
10,10,10157301,10007016,true,false,10070,false
10,10,10157301,10004015,true,false,10070,false
10,10,10157301,10004008,true,false,10070,false
10,10,10157301,10004002,true,false,10070,false
10,10,10157301,10003014,true,false,10070,false
10,10,10157701,10370050,true,false,10070,false
10,10,10157701,10096021,true,false,11070,false
10,10,10157701,10090555,true,false,10070,false
10,10,10157701,10090042,true,false,10070,false
10,10,10157701,10090014,true,false,10070,false
10,10,10157701,10087001,true,false,10042,false
10,10,10157701,10082258,true,false,10070,false
10,10,10157701,10070150,true,false,10070,false
10,10,10162000,10088012,true,false,10011,false
10,10,10162100,10091016,true,false,10041,false
10,10,10162100,10088011,true,false,10041,false
10,10,10162101,10081541,true,false,10070,false
10,10,10162101,10012051,true,false,10070,false
10,10,10162101,10012039,true,false,10070,false
10,10,10162101,10012035,true,false,10070,false
10,10,10162101,10012013,true,false,10070,false
10,10,10162101,10011042,true,false,10070,false
10,10,10162101,10011008,true,false,10070,false
10,10,10162101,10007004,true,false,10070,false
10,10,10162101,10005013,true,false,10070,false
10,10,10162101,10005007,true,false,10070,false
10,10,10162101,10003008,true,false,10070,false
10,10,10162101,10001001,true,false,10070,false
10,10,10164100,10088035,true,false,10041,false
10,10,10164100,10087020,true,false,10041,false
10,10,10164100,10082010,true,false,10041,false
10,10,10164101,10012019,true,false,10070,false
10,10,10164101,10011041,true,false,10070,false
10,10,10164101,10007009,true,false,10070,false
10,10,10164101,10007006,true,false,10070,false
10,10,10164101,10005014,true,false,10070,false
10,10,10200101,10101804,true,false,0,false
10,10,10200101,10101805,true,false,10070,false
10,10,10200101,10101328,true,false,102299,false
10,10,10200101,10101368,true,false,102199,false
10,10,10200101,10101090,true,false,10064,false
10,10,10200101,10101240,true,false,102199,false
10,10,10200114,10501040,true,false,10060,false
10,10,10200114,10114754,true,false,102299,false
10,10,10200114,10114778,true,false,102199,false
10,10,10200114,10114197,true,false,0,false
10,10,10200114,10114749,true,false,102299,false
10,10,10200114,10114189,true,false,0,false
10,10,10200114,10114196,true,false,0,false
10,10,10200114,10114124,true,false,102199,false
10,10,10200117,10117726,true,false,102199,false
